id,nama,email,no_hp,tanggal_daftar,status
1028,Ahmad Kusuma,ahmadkusuma98@gmail.com,08578340032,15/10/2022,active 
1029,Mega Kusuma,megakusuma53@gmail.com,08785944490,10/07/2023,active
1030,bambang manurung,bambangmanurung81@gmail.com,08789222379,01/03/2020,inactive
1031,Ratna Putra,ratnaputra9@gmail.com,08194131076,20/02/2024,inactive
1032,Sari sinaga,sarisinaga20@hotmail.com,08786832845,27/08/2024,active
1033,mega ginting,megaginting28@gmail.com,08528858359,17-10-22,active
1034,aGUS Wahyuni,aguswahyuni59@hotmail.com,08213690116,24/02/2020,active 
1035,Eko manurung,ekomanurung8@yahoo.com,08129911007,22-02-22,active
1036,mAYA pasaribu,mayapasaribu82@hotmail.com,08138539415,2023-10-23,active
1037,Ahmad Siregar,ahmadsiregar79@hotmail.com,08215418267,2020-11-08,inactive
1039,BAMBANG HIDAYAT,bambanghidayat3@yahoo.com,08571012076,16/07/2020,aktive
1040,rATNA Simanjuntak,ratnasimanjuntak69@gmail.com,08787359295,15-09-23,active
1041,Tono Nugroho,tononugroho53@hotmail.com,08131314067,2024-04-20,inactive
1042,RUDI SETIAWAN,rudisetiawan3@gmail.com,08967108168,2024-06-11,active
1043,Andi Harahap,andiharahap93@hotmail.com,08965006173,2021-02-17,inactive
1044,putri Wijaya,putriwijaya69@yahoo.com,08522062698,2023-09-17,active
1046,Nur Nugroho,nurnugroho90@hotmail.com,08199792431,19-06-21,INACTIVE
1047,Rudi Wahyuni,rudiwahyuni56@hotmail.com,08573585897,04-12-21,active
1048,hENDRA Harahap,hendraharahap14@gmail.com,08965750117,24/01/2023,inactive
1049,Ratna tarigan,ratnatarigan68@gmail.com,08527875379,04/05/2025,INACTIVE
1050,nur hasibuan,nurhasibuan31@gmail.com,08522853280,31/05/2022,aktive
1051,Maya Simanjuntak,mayasimanjuntak80@gmail.com,08129777848,2022-02-24,inactive
1052,pUTRI tanjung,putritanjung33@hotmail.com,08121734460,2021-10-06,inactive
1053,SRI NUGROHO,srinugroho35@yahoo.com,08133997061,2022-06-25,active
1054,Budi hasibuan,budihasibuan11@yahoo.com,08114390323,14/03/2020,inactive
1055,bambang Harahap,bambangharahap52@yahoo.com,08129143162,28-12-20,aktive
1056,doni manurung,donimanurung73@yahoo.com,08192656810,2023-09-12,banned
1057,Ahmad Gunawan,ahmadgunawan90@gmail.com,08117519606,16-12-24,active 
1058,DONI NASUTION,doninasution39@gmail.com,08579821818,2020-12-02,INACTIVE
1059,ANI SINAGA,anisinaga11@hotmail.com,08965293936,01/06/2022,active
1060,putri manurung,putrimanurung84@hotmail.com,08117146400,01-10-21,inactive
1061,bUDI Nasution,budinasution12@gmail.com,08192189067,2022-03-07,inactive
1062,Budi Sari,budisari49@yahoo.com,08114502044,13/04/2024,banned
1063,Maya ginting,mayaginting71@yahoo.com,08572341452,11-03-23,aktive
1064,MEGA WIJAYA,megawijaya8@yahoo.com,08572018380,01-10-22,banned
1066,yanti ginting,yantiginting22@hotmail.com,08521978112,09-01-23,active
1067,putri Simanjuntak,putrisimanjuntak64@gmail.com,08965459646,2022-08-20,banned
1068,Andi lubis,andilubis83@yahoo.com,08781682046,25/02/2023,active 
1069,rATNA Kusuma,ratnakusuma73@yahoo.com,08126098672,03/11/2022,active
1070,Dedi Nasution,dedinasution68@gmail.com,08124622201,2022-03-12,INACTIVE
1071,Eko manurung,ekomanurung30@gmail.com,08782629390,10-10-22,active 
1072,ARIF PASARIBU,arifpasaribu89@gmail.com,08124875838,2025-06-11,banned
1073,sri Wahyuni,sriwahyuni61@hotmail.com,08787464782,17-06-23,banned
1074,Ahmad Setiawan,ahmadsetiawan6@yahoo.com,08194240006,2021-12-23,inactive
1075,doni purnama,donipurnama88@gmail.com,08785173551,18/10/2021,active 
1076,mEGA Pratama,megapratama70@yahoo.com,08964001408,27-02-20,INACTIVE
1077,TONO SIMANJUNTAK,tonosimanjuntak85@hotmail.com,08787965641,02/04/2020,active 
1078,mega santoso,megasantoso23@gmail.com,08127005628,2024-09-10,INACTIVE
1079,AHMAD WIJAYA,ahmadwijaya3@yahoo.com,08578165129,15-12-21,active
1080,Maya Wijaya,mayawijaya76@gmail.com,08123798595,10/04/2023,banned
1081,JOKO HARAHAP,jokoharahap97@gmail.com,08137737011,16-04-24,active
1084,Tono Sitorus,tonositorus73@gmail.com,08968432510,2021-12-07,active
1085,Reza Siregar,rezasiregar73@gmail.com,08526287423,2022-04-23,INACTIVE
1086,eko sari,ekosari87@yahoo.com,08786446792,25-04-20,aktive
1087,wulan Setiawan,wulansetiawan43@hotmail.com,08527917972,15/05/2021,aktive
1088,Hendra tarigan,hendratarigan97@yahoo.com,08566426605,25-04-21,aktive
1089,Nur tanjung,nurtanjung18@hotmail.com,08965038654,01-10-21,inactive
1090,Rini Wijaya,riniwijaya93@hotmail.com,08964589118,22-06-20,INACTIVE
1091,Agus purba,aguspurba65@gmail.com,08565262908,2020-05-14,aktive
1092,MEGA LESTARI,megalestari45@hotmail.com,08528590070,2020-08-22,inactive
1093,Hendra Hidayat,hendrahidayat13@gmail.com,08577662074,13/12/2020,inactive
1094,BAMBANG PURNAMA,bambangpurnama30@yahoo.com,08111581546,2023-01-07,INACTIVE
1095,Hadi Pratama,hadipratama44@gmail.com,08211273509,2020-03-17,INACTIVE
1096,Dedi tarigan,deditarigan99@hotmail.com,08783266362,2023-09-09,active 
1097,Siti tanjung,sititanjung77@hotmail.com,08211110206,09-03-23,active
1098,Sari Santoso,sarisantoso42@yahoo.com,08214722641,2025-01-20,INACTIVE
1099,Hadi sinaga,hadisinaga82@gmail.com,08196283223,30/06/2021,banned
1100,Dewi Nugroho,dewinugroho58@yahoo.com,08115629792,2023-11-26,inactive
1102,Siti Kusuma,sitikusuma71@yahoo.com,08783595683,2021-10-10,active
1103,Rudi Utami,rudiutami56@yahoo.com,08121633110,2023-03-14,inactive
1104,rEZA Purnama,rezapurnama88@gmail.com,08576966913,22-10-21,aktive
1105,Muhammad hasibuan,muhammadhasibuan85@hotmail.com,08133322104,2020-07-19,active
1106,Ratna lubis,ratnalubis11@yahoo.com,08217158628,23-07-20,aktive
1107,aNDI Lestari,andilestari38@hotmail.com,08965191903,14/10/2023,aktive
1108,Siti Sitorus,sitisitorus92@gmail.com,08195299058,2021-11-19,inactive
1109,sITI hasibuan,sitihasibuan11@gmail.com,08212541912,26-10-22,aktive
1110,Siti Sitorus,sitisitorus20@yahoo.com,08967707501,26/11/2021,aktive
1111,Hadi tarigan,haditarigan92@yahoo.com,08964647992,2023-06-13,inactive
1112,siti harahap,sitiharahap20@hotmail.com,08126447428,2022-01-14,INACTIVE
1113,Dewi Pratama,dewipratama50@hotmail.com,08573900822,2021-02-17,active
1114,NUR TARIGAN,nurtarigan47@yahoo.com,08572599943,25/07/2023,aktive
1115,Rini sembiring,rinisembiring12@gmail.com,08966039762,17-09-24,active
1116,tono nasution,tononasution40@gmail.com,08117401281,2021-03-14,banned
1117,Joko Nugroho,jokonugroho47@yahoo.com,08121938227,27/06/2021,active
1118,tONO Harahap,tonoharahap14@yahoo.com,08526837300,31-08-21,INACTIVE
1119,bambang Lestari,bambanglestari12@gmail.com,08567988074,03/04/2022,active
1120,aGUS Putra,agusputra56@gmail.com,08124803691,03-07-23,inactive
1121,Andi lubis,andilubis72@yahoo.com,08961191837,15/05/2025,INACTIVE
1122,Hendra Saputra,hendrasaputra66@hotmail.com,08561908116,09-01-24,active
1124,Ika Sitorus,ikasitorus12@gmail.com,08116357242,2021-11-20,banned
1125,JOKO SIMANJUNTAK,jokosimanjuntak71@yahoo.com,08783509536,17-05-20,active 
1127,Maya Pratama,mayapratama42@hotmail.com,08193570227,2022-08-31,aktive
1128,ANI GUNAWAN,anigunawan2@yahoo.com,08117591477,2021-03-05,INACTIVE
1129,Sari Simanjuntak,sarisimanjuntak53@yahoo.com,08579467953,17/06/2024,active
1130,Ika purba,ikapurba11@yahoo.com,08124725978,2023-08-27,active
1131,Budi lubis,budilubis72@hotmail.com,08565861752,2022-10-30,aktive
1132,sri manurung,srimanurung74@gmail.com,08563483236,05-06-22,aktive
1133,mAYA Hidayat,mayahidayat22@hotmail.com,08136639966,2023-01-10,active 
1134,Maya Sari,mayasari49@hotmail.com,08128983516,2021-02-13,banned
1135,aNDI Utami,andiutami18@gmail.com,08961827302,2022-04-03,aktive
1136,eKO pasaribu,ekopasaribu39@yahoo.com,08787697318,03-07-23,active 
1137,Nur tanjung,nurtanjung64@yahoo.com,08212427388,17-07-22,banned
1138,dONI Siregar,donisiregar9@gmail.com,08569419194,12-04-24,INACTIVE
1139,hadi tarigan,haditarigan56@gmail.com,08563187332,04/01/2021,aktive
1140,Ahmad Nugroho,ahmadnugroho54@yahoo.com,08139068540,09-07-23,banned
1141,sITI Santoso,sitisantoso62@yahoo.com,08784323709,23/11/2022,aktive
1142,Andi tanjung,anditanjung47@gmail.com,08577632348,2023-03-27,active
1143,Dewi hasibuan,dewihasibuan32@yahoo.com,08964290000,12-03-21,banned
1144,Muhammad Nugroho,muhammadnugroho81@hotmail.com,08789795418,24-05-25,active 
1145,Rini Pratama,rinipratama77@yahoo.com,08195065372,2025-04-05,inactive
1147,Siti ginting,sitiginting14@yahoo.com,08566425946,27-12-22,banned
1148,Ratna Hidayat,ratnahidayat39@gmail.com,08962503148,2024-10-12,active
1149,Siti Gunawan,sitigunawan51@gmail.com,08127938755,29-03-25,inactive
1150,Hadi purba,hadipurba80@yahoo.com,08567128174,28-01-24,INACTIVE
1151,Siti sembiring,sitisembiring43@yahoo.com,08524195887,02-05-20,aktive
1153,ani sinaga,anisinaga84@yahoo.com,08961406123,05/08/2022,inactive
1154,Dedi Nugroho,dedinugroho18@hotmail.com,08213839632,07/05/2021,aktive
1155,Arif Hidayat,arifhidayat42@yahoo.com,08528419054,08-03-24,INACTIVE
1156,MEGA TARIGAN,megatarigan89@hotmail.com,08963446428,2024-04-16,INACTIVE
1157,REZA PURBA,rezapurba62@gmail.com,08571752920,2024-09-24,banned
1158,WULAN SANTOSO,wulansantoso23@yahoo.com,08194350161,2022-04-20,active
1159,Hadi Saputra,hadisaputra41@yahoo.com,08523617098,27/10/2024,inactive
1160,wulan purba,wulanpurba95@yahoo.com,08122885284,22/07/2023,inactive
1161,ARIF PURBA,arifpurba82@hotmail.com,08115077673,2024-09-28,banned
1162,Dewi purba,dewipurba74@yahoo.com,08963477610,2021-06-30,banned
1163,rudi tarigan,ruditarigan42@gmail.com,08211230406,16/08/2023,aktive
1164,YANTI PUTRA,yantiputra36@yahoo.com,08522866934,09-06-21,aktive
1165,hADI Purnama,hadipurnama47@yahoo.com,08218550780,16/05/2023,active
1167,Mega Santoso,megasantoso76@gmail.com,08524506598,20/08/2020,INACTIVE
1168,rUDI Saputra,rudisaputra24@hotmail.com,08784554677,28/01/2021,active
1169,jOKO sinaga,jokosinaga99@hotmail.com,08199778944,2021-05-17,aktive
1170,Ahmad Harahap,ahmadharahap4@hotmail.com,08219103837,2022-08-08,active
1171,sARI Simanjuntak,sarisimanjuntak60@hotmail.com,08963371416,2023-02-20,aktive
1172,Budi Sari,budisari27@hotmail.com,08117318411,14-05-22,active 
1173,bambang Kusuma,bambangkusuma38@yahoo.com,08969838222,28/01/2025,banned
1174,bambang wijaya,bambangwijaya9@hotmail.com,08115285846,17/02/2021,INACTIVE
1175,wulan Setiawan,wulansetiawan87@yahoo.com,08132008479,12/07/2021,aktive
1177,doni Sari,donisari39@hotmail.com,08965551347,2024-06-05,active 
1178,tONO Lestari,tonolestari33@gmail.com,08118800748,10-09-23,banned
1179,muhammad nugroho,muhammadnugroho20@hotmail.com,08112117325,26-12-20,inactive
1180,Hadi purba,hadipurba55@hotmail.com,08565551832,11/10/2024,aktive
1181,Arif hasibuan,arifhasibuan10@yahoo.com,08522810117,27-05-25,inactive
1182,Eko Setiawan,ekosetiawan77@yahoo.com,08115907261,22/09/2022,inactive
1183,nUR manurung,nurmanurung75@yahoo.com,08564878365,23/04/2020,inactive
1184,Agus lubis,aguslubis69@yahoo.com,08569531890,04-10-21,banned
1185,aRIF sembiring,arifsembiring89@hotmail.com,08126292472,02/09/2021,active
1186,sri lubis,srilubis70@yahoo.com,08579918107,2025-01-18,INACTIVE
1187,rUDI pasaribu,rudipasaribu47@gmail.com,08124127564,2025-01-10,inactive
1188,Andi Lestari,andilestari69@hotmail.com,08199399526,07-10-23,inactive
1189,Rudi lubis,rudilubis82@hotmail.com,08571360516,18/12/2024,banned
1190,Dewi Nasution,dewinasution14@gmail.com,08115150551,23-03-22,INACTIVE
1191,Rudi Simanjuntak,rudisimanjuntak85@gmail.com,08786115834,21/09/2024,INACTIVE
1192,SRI GUNAWAN,srigunawan46@hotmail.com,08529219709,28/04/2021,inactive
1193,Reza Sitorus,rezasitorus83@gmail.com,08563634111,15-03-23,inactive
1194,Agus Purnama,aguspurnama6@hotmail.com,08116818001,21/10/2022,inactive
1195,Nur Lestari,nurlestari83@hotmail.com,08526962255,04-12-22,active 
1196,Reza sembiring,rezasembiring83@hotmail.com,08214962858,24-08-24,active
1197,Arif Kusuma,arifkusuma97@yahoo.com,08785628469,28-04-25,active
1198,sri Harahap,sriharahap56@yahoo.com,08115323142,2021-05-30,aktive
1199,ika saputra,ikasaputra2@gmail.com,08561494355,16/12/2024,aktive
1200,putri Putra,putriputra34@gmail.com,08785700872,02-05-21,aktive
1201,MEGA PURBA,megapurba66@gmail.com,08193545240,2020-09-07,inactive
1202,BUDI WIJAYA,budiwijaya67@hotmail.com,08527590872,05-11-21,aktive
1203,Yanti Nasution,yantinasution75@hotmail.com,08132472955,2024-02-18,active
1204,Joko Purnama,jokopurnama74@hotmail.com,08569736195,08-07-24,aktive
1205,AHMAD SITORUS,ahmadsitorus58@gmail.com,08964815608,03/03/2024,active 
1206,Muhammad Wahyuni,muhammadwahyuni51@yahoo.com,08565032585,2025-03-30,active
1207,Mega Hidayat,megahidayat99@yahoo.com,08963562705,22/03/2021,active
1208,Budi sembiring,budisembiring76@hotmail.com,08566240913,06/08/2020,banned
1209,putri sembiring,putrisembiring65@hotmail.com,08966524481,2021-03-14,INACTIVE
1210,WULAN PUTRA,wulanputra45@gmail.com,08573210769,2022-06-19,active 
1211,Muhammad Harahap,muhammadharahap62@gmail.com,08193324928,04-06-21,inactive
1212,Ratna Putra,ratnaputra38@gmail.com,08964394202,2020-04-24,banned
1213,rini purnama,rinipurnama11@yahoo.com,08136184132,2022-12-28,inactive
1214,Hendra lubis,hendralubis94@gmail.com,08783269160,03/12/2023,active 
1215,rATNA Nasution,ratnanasution45@gmail.com,08563435253,10-10-21,inactive
1216,putri sembiring,putrisembiring44@yahoo.com,08963651604,2022-05-17,INACTIVE
1217,Sari hasibuan,sarihasibuan27@yahoo.com,08522137730,30/10/2023,aktive
1218,wulan ginting,wulanginting62@hotmail.com,08789941610,2025-05-26,active
1219,HENDRA SEMBIRING,hendrasembiring61@yahoo.com,08124089276,06/12/2024,inactive
1220,Dedi Siregar,dedisiregar57@gmail.com,08523441467,2022-01-13,INACTIVE
1221,putri Putra,putriputra90@hotmail.com,08116346688,2024-01-05,active
1222,bambang sinaga,bambangsinaga41@yahoo.com,08567899659,2024-08-09,inactive
1223,YANTI TANJUNG,yantitanjung39@gmail.com,08218432381,13-02-20,inactive
1224,Hendra Pratama,hendrapratama91@gmail.com,08213549416,03-06-25,active
1225,mEGA Utami,megautami3@gmail.com,08192791327,12-03-20,active
1226,maya simanjuntak,mayasimanjuntak83@yahoo.com,08134099531,18/09/2023,INACTIVE
1227,Andi Putra,andiputra87@gmail.com,08115477211,15-11-23,inactive
1228,ANDI PASARIBU,andipasaribu95@gmail.com,08964874049,2021-05-05,INACTIVE
1229,wULAN Nugroho,wulannugroho67@gmail.com,08964895376,2023-02-05,active 
1232,putri Sitorus,putrisitorus55@hotmail.com,08573249600,13-01-22,banned
1233,Budi tarigan,buditarigan30@yahoo.com,08788864546,06-09-20,inactive
1234,Tono Wahyuni,tonowahyuni81@yahoo.com,08524086613,10/11/2024,aktive
1235,ani Gunawan,anigunawan24@gmail.com,08569245088,2024-10-22,active 
1236,Dedi sembiring,dedisembiring85@hotmail.com,08573307080,06/03/2022,inactive
1237,wulan Simanjuntak,wulansimanjuntak51@yahoo.com,08134242361,2025-02-06,INACTIVE
1238,Ratna purba,ratnapurba95@gmail.com,08191540722,2025-03-14,inactive
1239,MEGA SIREGAR,megasiregar26@hotmail.com,08561251897,08/09/2021,active 
1240,wulan siregar,wulansiregar76@yahoo.com,08217929728,01/04/2025,inactive
1242,RUDI HASIBUAN,rudihasibuan91@gmail.com,08192109583,26/10/2024,aktive
1243,hendra manurung,hendramanurung27@gmail.com,08138369982,2025-02-18,inactive
1244,ika simanjuntak,ikasimanjuntak97@yahoo.com,08969219877,2023-07-17,inactive
1245,Rudi Sitorus,rudisitorus9@hotmail.com,08528676330,06-12-24,inactive
1246,Budi Pratama,budipratama14@hotmail.com,08198173194,12/04/2022,INACTIVE
1247,Andi tarigan,anditarigan24@hotmail.com,08561701728,15/07/2021,active
1248,Siti Utami,sitiutami42@yahoo.com,08967381619,2024-08-12,aktive
1249,eKO Purnama,ekopurnama59@gmail.com,08527612751,22-08-22,INACTIVE
1250,putri sembiring,putrisembiring34@gmail.com,08969995261,2022-04-25,aktive
1251,putri ginting,putriginting63@hotmail.com,08781646123,2024-01-09,INACTIVE
1252,Sari Pratama,saripratama82@hotmail.com,08782834023,30/11/2024,active 
1254,ani Putra,aniputra79@yahoo.com,08115122525,2023-12-01,active 
1255,putri tanjung,putritanjung76@yahoo.com,08787637254,02/11/2022,aktive
1256,BUDI PUTRA,budiputra45@gmail.com,08117499457,2021-12-21,banned
1257,BUDI NASUTION,budinasution59@yahoo.com,08781827040,18-05-23,active 
1258,Andi Siregar,andisiregar23@hotmail.com,08195885179,23-07-24,active
1260,bambang sinaga,bambangsinaga79@yahoo.com,08215796850,17-07-22,active 
1261,Ika Nasution,ikanasution11@hotmail.com,08573793181,26/02/2020,INACTIVE
1262,Muhammad Sari,muhammadsari18@hotmail.com,08565939543,06-08-23,active
1263,dewi gunawan,dewigunawan16@yahoo.com,08961915141,11-01-21,active
1264,bUDI manurung,budimanurung40@gmail.com,08783386384,27-06-22,active
1265,Nur manurung,nurmanurung24@gmail.com,08578578236,05/10/2020,inactive
1266,RUDI PASARIBU,rudipasaribu89@yahoo.com,08129399643,31/03/2022,banned
1267,Tono pasaribu,tonopasaribu66@gmail.com,08124016063,2023-07-10,active
1268,Mega Sari,megasari54@yahoo.com,08963270069,04-10-21,aktive
1269,sri tarigan,sritarigan18@hotmail.com,08567938373,17/06/2020,aktive
1270,Reza Sari,rezasari50@hotmail.com,08528564609,19/11/2020,aktive
1271,tono purba,tonopurba24@yahoo.com,08114001084,23-11-22,inactive
1272,Ratna Nugroho,ratnanugroho82@yahoo.com,08574387856,08-06-25,aktive
1273,Joko Harahap,jokoharahap89@hotmail.com,08572512963,11/04/2024,inactive
1274,Budi tarigan,buditarigan23@hotmail.com,08216437072,30-09-24,inactive
1275,Yanti Sari,yantisari22@hotmail.com,08133072728,2023-11-05,INACTIVE
1276,ani tanjung,anitanjung37@yahoo.com,08122915369,2024-06-11,inactive
1277,HENDRA PASARIBU,hendrapasaribu24@gmail.com,08577089179,2022-07-13,INACTIVE
1278,Dewi hasibuan,dewihasibuan58@yahoo.com,08129788196,23-11-24,aktive
1280,Hadi Simanjuntak,hadisimanjuntak2@yahoo.com,08963682671,21-12-20,active
1281,Hendra Nugroho,hendranugroho18@yahoo.com,08567385526,2023-04-29,aktive
1282,tONO Utami,tonoutami50@gmail.com,08113866974,2024-06-25,inactive
1283,Mega ginting,megaginting65@hotmail.com,08523518087,10/02/2021,inactive
1284,bambang sembiring,bambangsembiring64@hotmail.com,08133426109,2022-04-28,active
1285,putri Purnama,putripurnama88@yahoo.com,08131860847,2021-01-07,INACTIVE
1286,nUR Wahyuni,nurwahyuni54@yahoo.com,08566168426,2024-11-29,banned
1287,yANTI tarigan,yantitarigan57@hotmail.com,08218486970,18-04-25,banned
1288,Yanti Lestari,yantilestari22@yahoo.com,08214031576,04/04/2021,active 
1290,Ika pasaribu,ikapasaribu98@gmail.com,08191059272,05-03-25,inactive
1291,Ratna Santoso,ratnasantoso38@gmail.com,08965246497,18-08-23,INACTIVE
1292,EKO PRATAMA,ekopratama36@gmail.com,08118694746,07/07/2023,INACTIVE
1293,wulan Siregar,wulansiregar69@gmail.com,08579365828,31/01/2025,aktive
1294,Mega pasaribu,megapasaribu22@yahoo.com,08781096478,2025-06-18,active
1295,Muhammad Siregar,muhammadsiregar73@yahoo.com,08969278999,2021-02-10,active
1296,bUDI Pratama,budipratama99@hotmail.com,08194638539,07/12/2023,active
1298,Nur Sitorus,nursitorus15@hotmail.com,08577881198,2023-06-19,INACTIVE
1299,rATNA Harahap,ratnaharahap15@hotmail.com,08572332193,2023-05-14,active
1300,aRIF Simanjuntak,arifsimanjuntak70@yahoo.com,08961110277,01/11/2020,active
1301,mUHAMMAD Purnama,muhammadpurnama70@yahoo.com,08195665960,2025-05-16,banned
1302,bambang putra,bambangputra98@gmail.com,08964483580,14-12-20,banned
1303,eko saputra,ekosaputra57@hotmail.com,08114101100,28/08/2020,INACTIVE
1304,Ratna sinaga,ratnasinaga28@hotmail.com,08131923819,11-01-24,active
1305,Eko Lestari,ekolestari14@yahoo.com,08521616077,2022-06-10,active
1306,bambang hasibuan,bambanghasibuan84@hotmail.com,08131544120,21-08-24,aktive
1307,putri Harahap,putriharahap39@gmail.com,08966007018,09/10/2022,active
1308,RINI GINTING,riniginting58@gmail.com,08522471406,04-04-21,inactive
1309,MEGA SETIAWAN,megasetiawan45@yahoo.com,08112826831,20/02/2021,active
1310,Budi pasaribu,budipasaribu57@gmail.com,08563990511,2025-04-21,aktive
1311,bambang Wijaya,bambangwijaya31@gmail.com,08135771113,12-08-21,inactive
1312,Ratna Gunawan,ratnagunawan95@gmail.com,08963976601,2022-10-09,inactive
1313,Andi tanjung,anditanjung89@hotmail.com,08577042962,2020-09-23,INACTIVE
1314,Yanti Sari,yantisari91@yahoo.com,08112562399,19/10/2024,inactive
1315,Tono Gunawan,tonogunawan81@hotmail.com,08216416051,13/05/2023,active 
1316,HENDRA SAPUTRA,hendrasaputra22@yahoo.com,08527357547,2024-08-14,inactive
1317,Siti Utami,sitiutami18@hotmail.com,08128169304,28-01-24,banned
1319,rudi siregar,rudisiregar73@gmail.com,08218898995,2021-01-04,banned
1320,ahmad lubis,ahmadlubis69@yahoo.com,08133047210,10/06/2024,active
1321,Andi purba,andipurba77@yahoo.com,08216523202,2020-02-28,inactive
1322,sri Pratama,sripratama22@hotmail.com,08787941705,2025-06-22,active
1323,Rini Simanjuntak,rinisimanjuntak91@yahoo.com,08784520621,27-04-21,banned
1325,Mega sinaga,megasinaga35@hotmail.com,08129874251,27-01-22,inactive
1326,Hendra manurung,hendramanurung87@hotmail.com,08129114518,02-11-23,active
1327,Dedi Sitorus,dedisitorus18@gmail.com,08965818203,27/07/2022,active 
1328,sri Sitorus,srisitorus8@yahoo.com,08566309796,2020-01-22,aktive
1330,putri Lestari,putrilestari90@gmail.com,08966936673,18-06-25,active 
1331,bambang lubis,bambanglubis32@gmail.com,08139328158,25-03-22,inactive
1332,Mega Kusuma,megakusuma92@gmail.com,08789350710,10-03-21,inactive
1333,Dewi Santoso,dewisantoso32@yahoo.com,08574018342,24-02-22,active
1334,Muhammad Nasution,muhammadnasution51@hotmail.com,08964904421,16-05-22,INACTIVE
1335,sITI Putra,sitiputra19@yahoo.com,08214247321,2023-05-08,active
1336,sri pasaribu,sripasaribu81@hotmail.com,08112983186,29/05/2020,banned
1337,JOKO LUBIS,jokolubis81@yahoo.com,08118799486,14/02/2023,INACTIVE
1338,bambang purba,bambangpurba49@yahoo.com,08124478434,2020-04-16,active
1339,Tono lubis,tonolubis10@yahoo.com,08967956372,21/03/2025,active
1340,eko nugroho,ekonugroho99@hotmail.com,08561763232,2022-08-22,banned
1341,mega tanjung,megatanjung52@gmail.com,08526866154,26-05-23,inactive
1342,bambang ginting,bambangginting96@hotmail.com,08784562439,03-06-25,banned
1343,Siti Kusuma,sitikusuma89@yahoo.com,08114375360,24-12-23,active
1344,Ika hasibuan,ikahasibuan59@yahoo.com,08215268417,16/07/2024,inactive
1345,Hadi Gunawan,hadigunawan42@yahoo.com,08126163566,2020-01-11,inactive
1346,hENDRA pasaribu,hendrapasaribu1@hotmail.com,08219500841,30-10-22,active
1347,Rudi Utami,rudiutami12@hotmail.com,08786434540,2022-02-19,aktive
1348,yanti purnama,yantipurnama59@hotmail.com,08112909863,19-03-22,banned
1349,Siti sembiring,sitisembiring86@hotmail.com,08526727097,29/01/2022,aktive
1353,Budi sinaga,budisinaga28@yahoo.com,08578960796,13-12-20,banned
1354,bambang sitorus,bambangsitorus35@yahoo.com,08113277572,2022-10-06,active 
1355,putri Kusuma,putrikusuma37@yahoo.com,08573606949,2024-12-02,aktive
1356,Ahmad Purnama,ahmadpurnama71@yahoo.com,08576622207,27/09/2020,inactive
1357,Dewi Sitorus,dewisitorus17@hotmail.com,08577944979,11-10-21,active 
1358,Sari Siregar,sarisiregar63@hotmail.com,08119742158,2022-12-22,aktive
1359,Yanti Setiawan,yantisetiawan88@yahoo.com,08216293259,2020-10-17,active
1361,Dewi Saputra,dewisaputra81@gmail.com,08114494064,31/03/2020,inactive
1365,bambang saputra,bambangsaputra55@gmail.com,08116690033,2021-08-02,INACTIVE
1366,putri Wahyuni,putriwahyuni89@gmail.com,08569963616,2023-06-09,inactive
